Indicador de registro,Transacción,Documento,Otros datos para elaborar indicadores ,Ciudad,Años,Categorías,Concepto,Monto,Nota,Compañía,Referencias bibliográficas,Código documentos
IdI-16,Tra-91,[Doc. 47] Libro de cajas del Cabildo de Sevilla del año 1575,"El Cabildo registra que en 1575 pagó 3567 (104, 91) maravedís por las 87 varas de angeo para los “dos medios carros” de la representación que realiza Ganassa. 41 maravedís por vara.  ",Sevilla ,1575,Corpus Christi. Escenografía,Ochenta y siente varas de angeo para carro de representación,"104, 91 reales",X,X,"Información ubicada en Sentaurens (1984, pp. 218-219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1575. ",[Doc. 47]
IdI-17,Tra-92,[Doc. 47] Libro de cajas del Cabildo de Sevilla del año 1575,"El Cabildo registra que en 1575 realizó distintos gastos para para los “dos medios carros” de la representación que realiza Ganassa. El total de estos gastos, como se puede ver en las entradas correspondientes, es de 45028 maravedís (1324,3 reales). ",Sevilla ,1575,Corpus Christi. Escenografía,Costo total del montaje de un carro de representación,"1324, 3 reales",X,X,"Información ubicada en Sentaurens (1984, pp. 218-219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1575. ",[Doc. 47]
IdI-18,Tra-93,[Doc. 46] Registros de las deliberaciones de la comisión de Corpus del Cabildo de Sevilla del año 1575.,"Según la lectura de los documentos del Cabildo de Sevilla que realiza Jean Sentaurens y recoge DICAT, este año se habría contratado a Ganassa para que representara un auto en el Corpus Christi. Se contrata también a otros autores para que saquen más autos (en específico a Luis Díaz, Francisco de Segura y Pedro de Montiel). Ganassa habría cobrado por su participación 51000 maravedís (1500 reales). DICAT hace referencia también a que, según los estudios de Sentaurens, el dinero que el Cabildo paga a Ganassa es mucho mayor al que acostumbraba pagar a los autores españoles. –Sentaurens transcribe de los documentos originales los nombres de los autores como: Luys Días, Francisco de Sigura y Montiel. DICAT propone las modernizaciones que usamos también aquí.– El Cabildo también costea el carro de representación para el auto de Ganassa, el cual se describe como “dos medios carros”. Sentaurens da el dato de que se gastó en el carro un total de 45118 maravedís y así lo recoge DICAT. Creemos que es un error pues, el mismo investigador, muestra el desglose de los gastos para el carro que encuentra en el libro de caja y la suma real es de 45028 maravedís (1324,3 reales). ",Sevilla ,1575,Corpus Christi. Representaciones,"Costo total de contratar a Alberto Naselli (Ganassa) para el Corpus Christi: la suma de lo que se paga a él (1500 reales) y lo que cuesta el carro para que realice su representación (1324,35 reales). ","2824, 3 reales",X,X,"Información ubicada en DICAT; DICAT extrae el dato de Sentaurens (1984, pp. 139, 171, 178, 180-181, 190, 198, 217, 1261). Se ha consultado el texto de Sentaures. Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), Papeles Importantes, siglo XVI, tomo 3, vol. 44: registros de las deliberaciones de la comisión de Corpus de 1575 (en el original: registre des délibérations de la comission du Corpus de 1575). ",[Doc. 46]
IdI-19,Tra-94,[Doc. 49] Libro de cajas del Cabildo de Sevilla del año 1575.,"Según la lectura de los documentos del Cabildo de Sevilla que realiza Jean Sentaurens y recoge DICAT, este año se premió a Alberto Naselli (Ganassa) con la primera joya de la corona porque sacó el mejor “carro de invención”. El premio fue de 20 ducados (220 reales). ",Sevilla ,1575,Corpus Christi. Joya de la corona,Joya de la corona por el mejor carro del Corpus Christi,220 relaes,X,X,"Información ubicada en DICAT; DICAT extrae el dato de Sentaurens (1984, p. 217). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1575. ",[Doc. 49]
IdI-20,Tra-95,[Doc. 50] Libro de cajas del Cabildo de Sevilla del año 1578,El Cabildo registra que en 1578 pagó 32402 maravedís (953 reales) por las “demasías” de los carros para las representaciones a cargo de los autores Pedro de Saldaña y Juan Bautista. ,Sevilla ,1578,Corpus Christi. Escenografía,Parte del costo de los carros,953 relaes,"La ‘demasía’ es un resto de pago, por lo que asumimos que los carros costaron más de esto y que lo demás lo pagaron los mismos comediantes o el Cabildo en una partida que no nos consta. ",X,"Información ubicada en Sentaurens (1984, p. 219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1578. ",[Doc. 50]
IdI-21,Tra-96,[Doc. 50] Libro de cajas del Cabildo de Sevilla del año 1578,"El Cabildo registra que en 1578 pagó 241120 maravedís (7091,76 reales) por los carros de las representaciones a cargo de un autor de comedias designado simplemente por su apellido, Sigüenza, y de “los italianos”, es decir, la compañía de Ganassa. ",Sevilla ,1578,Corpus Christi. Escenografía,Costo del cuerpo de dos o tres carros de representación,"7091,76 reales","Se habla de “la copia” de los carros. Entendemos la palabra ‘copia’ en su sentido de abundancia, conjunto. Sabemos que Ganassa saca dos autos este año, pero no sabemos cuántos saca Sigüenza, por lo que esta noticia puede tratar de tres o de cuatro carros en total. ",X,"Información ubicada en Sentaurens (1984, p. 219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1578. ",[Doc. 50]
IdI-22,Tra-97,[Doc. 50] Libro de cajas del Cabildo de Sevilla del año 1578,El Cabildo registra que en 1578 pagó 12750 maravedís (375 reales) por la pintura de los carros (probablemente dos) para las representaciones a cargo de un autor de comedias designado simplemente por su apellido: Sigüenza –. DICAT no contiene más datos sobre este autor que los que recogemos aquí. ,Sevilla ,1578,Corpus Christi. Escenografía,Costo de la pintura de dos carros,375 reales,X,X,"Información ubicada en Sentaurens (1984, p. 219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1578. ",[Doc. 50]
IdI-23,Tra-98,[Doc. 50] Libro de cajas del Cabildo de Sevilla del año 1578,"El Cabildo registra que en 1578 pagó 15750 maravedís (463,23 reales) por la pintura de los carros para las representaciones de “los italianos”, es decir, la compañía de Ganassa. Sabemos que son dos carros porque este año Ganassa se compromete a realizar dos autos para el Corpus Christi sevillano. ",Sevilla ,1578,Corpus Christi. Escenografía,Costo de la pintura de dos carros,"463,23 reales",X,X,"Información ubicada en Sentaurens (1984, p. 219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1578. ",[Doc. 50]
IdI-24,Tra-99,[Doc. 50] Libro de cajas del Cabildo de Sevilla del año 1578,"El Cabildo registra que en 1578 pagó 27822 maravedís (818,29 reales) a un tal Juan Gómez de Aguirre por sedas para los vestidos. ",Sevilla ,1578,Corpus Christi. Vestuario,Costo de sedas para los vestidos,"818,29 reales","Entendemos que se trata del vestuario de los actores que figurarán en los carros, pues en esta sección de partidas se está hablando de estos. Sin embargo, podría tratarse de sedas para los vestidos de los regidores. ",X,"Información ubicada en Sentaurens (1984, p. 219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1578. ",[Doc. 50]
IdI-25,Tra-100,[Doc. 50] Libro de cajas del Cabildo de Sevilla del año 1578,El Cabildo registra que en 1578 pagó 4216 maravedís (124 reales) a Roque Pérez por 31 onzas de “flueco” de oro. ,Sevilla ,1578,Corpus Christi. Vestuario,31 onzas de “flueco” de oro,124 reales,X,X,"Información ubicada en Sentaurens (1984, p. 219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1578. ",[Doc. 50]
IdI-26,Tra-101,[Doc. 50] Libro de cajas del Cabildo de Sevilla del año 1578,El Cabildo registra que en 1578 pagó 3400 maravedís (100 reales) por la confección de vestidos al sastre Miguel Díaz. ,Sevilla ,1578,Corpus Christi. Vestuario,Costo de la confección de vestidos,100 reales,"Entendemos que se trata del vestuario de los actores que figurarán en los carros, pues en esta sección de partidas se está hablando de estos. Sin embargo, podría tratarse de los vestidos de los regidores. ",X,"Información ubicada en Sentaurens (1984, p. 219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1578. ",[Doc. 50]
IdI-27,Tra-102,[Doc. 50] Libro de cajas del Cabildo de Sevilla del año 1578,"El Cabildo registra que en 1578 pagó 36339 maravedís (1068,79 reales) por los lienzos para forrar los carros de representación. ",Sevilla ,1578,Corpus Christi. Escenografía,Lienzos para forrar los carros de representación,"1068,79 reales",X,X,"Información ubicada en Sentaurens (1984, p. 219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1578. ",[Doc. 50]
IdI-28,Tra-103,[Doc. 50] Libro de cajas del Cabildo de Sevilla del año 1578,"El Cabildo registra que en 1578 pagó 17240 maravedís (507,05 reales) por al cerrajero Matías Rodríguez por el hierro y los herrajes para los carros. ",Sevilla ,1578,Corpus Christi. Escenografía,Hierro y los herrajes para los carros de representaciób,"507,05 reales",X,X,"Información ubicada en Sentaurens (1984, p. 219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1578. ",[Doc. 50]
IdI-29,Tra-104,[Doc. 50] Libro de cajas del Cabildo de Sevilla del año 1578,"El Cabildo registra que en 1578 pagó 5023 maravedís (147,73 reales) al mercader Tomás Martínez por mercancías varias. ",Sevilla ,1578,Corpus Christi. Otros,Mercancías varias,"147,73 reales","Entendemos que se trata de mercancías para los carros, pues en esta sección de partidas se está hablando de estos. Sin embargo, podría tratarse de mercancías varias para la fiesta. ",X,"Información ubicada en Sentaurens (1984, p. 219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1578. ",[Doc. 50]
IdI-30,Tra-105,[Doc. 50] Libro de cajas del Cabildo de Sevilla del año 1578,El Cabildo registra que en 1578 pagó 14960 maravedís (440 reales) a Jerónimo Hernández maravedís por las trazas que dio. ,Sevilla ,1578,Corpus Christi. Escenografía,Trazas para carros u otros elementos espectaculares,440 reales,"Entendemos que se trata del diseño de los carros. Sin embargo, podría referirse a otros diseños también, como el de tarascas, castillos, u otros elementos espectaculares típicos del Corpus Christi. ",X,"Información ubicada en Sentaurens (1984, p. 219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1578. ",[Doc. 50]
IdI-31,Tra-106,[Doc. 50] Libro de cajas del Cabildo de Sevilla del año 1578,El Cabildo registra que en 1578 pagó 8364 maravedís (246 reales) a seis músicos que debían tocar el día del Corpus Christi. ,Sevilla ,1578,Corpus Christi. Música,Pago a seis músicos,246 reales,X,X,"Información ubicada en Sentaurens (1984, p. 219). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1578. ",[Doc. 50]
IdI-32,Tra-107,[Doc. 54]  Libro de cajas del Cabildo de Sevilla del año 1583,"Según la lectura de los documentos del Cabildo de Sevilla que realiza Jean Sentaurens y recoge DICAT, este año se premió a Alberto Naselli (Ganassa) con la primera joya de la corona porque sacó el mejor “carro de invención”. El premio fue de 30 ducados (330 reales). ",Sevilla ,1583,Corpus Christi. Joya de la corona,Joya de la corona por el mejor carro del Corpus Christi,330 reales,X,AN3,"Información ubicada en DICAT; DICAT extrae el dato de Sentaurens (1984, p. 217). Sentaurens ofrece la ubicación de los documentos que consulta: AMS (Archivo Municipal de Sevilla), II, libro de caja, año 1583. ",[Doc. 54]
